Structure of Structure [idcode],Structure,Molecular Formula,OSM ID,MMV ID,PubChem ID Links,PubChem ID,ChEMBL Molecule ID Links,ChEMBL Molecule ID,Internal ID,Series,InChI,InChI-Key,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PfATP4 'Test Set',Ion Regulation (ANU),Pb Liver Stage,Cytotox HepG2,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),CLint HLM (Monash),CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Parasit Cl,"Aldehyde Oxidase CLint,app (?L/min/mg)"
fmoIC@ARUFpH`\`nPrJIKJISQI[JIJFcEF}Glx@Ijijh@bE@@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F)Cl,C19H13N4OClF2,OSM-S-272,MMV639565,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/129012033"">129012033</a>",129012033,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL4565262"">CHEMBL4565262</a>",CHEMBL4565262,AEW 302-1,4,"InChI=1S/C19H13ClF2N4O/c20-14-4-2-13(3-5-14)19-25-24-17-10-23-11-18(26(17)19)27-8-7-12-1-6-15(21)16(22)9-12/h1-6,9-11H,7-8H2",PMHUSEXABGDNGS-UHFFFAOYSA-N,0.038,,,0.143,0.0493,0.0447,,0.0905,,B,Yes,,,,,53,,9,,,,52,33,16,193,70,,,7,0.57,0.81,,,0.33,,3.8,1.6-3.1,3.1-6.3,,,95,44,0.9,0.6,,16,28.3,0,6.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ek`ZLDDC@hleeMc`I@bPVd{lbbbrrRbbTTLJVTXxBJbrFf``JjZfX@Ia`@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F)N(=O)=O,C19H13N5O3F2,OSM-S-553,MMV1580438,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345738"">162345738</a>",162345738,Not in ChEMBL,Not in ChEMBL,MK053-1,4,"InChI=1S/C19H13F2N5O3/c20-15-6-1-12(9-16(15)21)7-8-29-18-11-22-10-17-23-24-19(25(17)18)13-2-4-14(5-3-13)26(27)28/h1-6,9-11H,7-8H2",ANXKNNLWLQBISN-UHFFFAOYSA-N,,,,0.98,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fciC@BRUiK`QDyC\adTTVrbTtRVrbRaYsU`iFnB@fjfj`BHT@@,c1cc(c(cc1CCOc2cncc3n2c(nn3)c4ccc(c(c4)N)Cl)F)F,C19H14N5OClF2,OSM-S-548,MMV1580433,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345734"">162345734</a>",162345734,Not in ChEMBL,Not in ChEMBL,MK065-1,4,"InChI=1S/C19H14ClF2N5O/c20-13-3-2-12(8-16(13)23)19-26-25-17-9-24-10-18(27(17)19)28-6-5-11-1-4-14(21)15(22)7-11/h1-4,7-10H,5-6,23H2",UUAZLIWHOSTWRP-UHFFFAOYSA-N,,,,0.045,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fewIA@CAcePI@dadTTVVRTTRbaaRYpIXyGNB@jijY`@F@@@,c1ccc(cc1)c2nnc3n2c(cnc3)OCCc4ccc(c(c4)F)F,C19H14N4OF2,OSM-S-415,MMV1557949,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345720"">162345720</a>",162345720,Not in ChEMBL,Not in ChEMBL,EGT 249-1; MK009-1,4,"InChI=1S/C19H14F2N4O/c20-15-7-6-13(10-16(15)21)8-9-26-18-12-22-11-17-23-24-19(25(17)18)14-4-2-1-3-5-14/h1-7,10-12H,8-9H2",RGEIFMMWUNGFHD-UHFFFAOYSA-N,,,,2.15,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmoHa@MFlW@PRBIAIme]enU~UEJwdefnj@BZjZh@AP@@,c1ccc(cc1)COc2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C19H14N4O2F2,OSM-S-368,MMV897697,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345712"">162345712</a>",162345712,Not in ChEMBL,Not in ChEMBL,EGT 96-1,4,"InChI=1S/C19H14F2N4O2/c20-19(21)27-15-8-6-14(7-9-15)18-24-23-16-10-22-11-17(25(16)18)26-12-13-4-2-1-3-5-13/h1-11,19H,12H2",BHCAOWNYTVGIBQ-UHFFFAOYSA-N,,,,2.239,,,,2.239,,C,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
